alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
21.2719187310606,47.137794,-113.976912,0.97269243092959,398.515067231326,48.0255756358948,1.1247393220303,-0.00357462292866134,1.464533958983,0.0170618044331242,6.99027351765874,0.918352822964878,-1.77702035188561
23.2736201212121,47.228899,-113.924628,1.67996232906867,510.67213218373,46.5645146728247,1.1672897401604,-0.00813775669722982,2.47370163714957,0.030582695183924,9.29647640739518,0.991951985800261,-5.41732757867682
24.6250804195804,47.279359,-113.886042,0.633545413013769,39.2351244553765,29.0168739679278,2.5655165812306,-0.0214971358883296,1.33130598799619,0.0253483748757543,1.56981113360242,0.633642081319749,0.103599379733552
28.261263023088,47.360024,-113.82011,1.62693669397539,55.8491320729501,-74.7242432657015,6.18151700463759,-0.152737701744618,5.24314689615272,0.156842323385466,5.3840494629078,0.844746489951981,-0.123320508142844
31.4547437950938,47.407619,-113.782306,1.15913924684007,199.731601210147,-60.89016391438,1.65254758352735,-0.0189345309363467,3.26261421342538,0.0298735702143166,5.14752306854854,0.926502345075934,-2.67348398878236
21.272,47.138,-113.98,6.4596e-06,0.0026465,48.026,1.1247,-2.3739e-08,9.7259e-06,1.1331e-07,4.6422e-05,0.91835,-1.777
23.274,47.229,-113.92,3.7401e-06,0.0011369,46.565,1.1673,-1.8117e-08,5.5072e-06,6.8086e-08,2.0697e-05,0.99195,-5.4173
24.625,47.279,-113.89,9.9175e-06,0.00061419,29.017,2.5655,-3.3652e-07,2.084e-05,3.968e-07,2.4574e-05,0.63364,0.1036
28.261,47.36,-113.82,3.862e-06,0.00013257,-74.724,6.1815,-3.6256e-07,1.2446e-05,3.7231e-07,1.278e-05,0.84475,-0.12332
31.455,47.408,-113.78,5.4206e-06,0.00093402,-60.89,1.6525,-8.8545e-08,1.5257e-05,1.397e-07,2.4072e-05,0.9265,-2.6735
21.272,47.138,-113.98,0.97269,398.52,48.026,1.1247,-0.0035746,1.4645,0.017062,6.9903,0.91835,-1.777
23.274,47.229,-113.92,1.68,510.67,46.565,1.1673,-0.0081378,2.4737,0.030583,9.2965,0.99195,-5.4173
24.625,47.279,-113.89,0.63355,39.235,29.017,2.5655,-0.021497,1.3313,0.025348,1.5698,0.63364,0.1036
28.261,47.36,-113.82,1.6269,55.849,-74.724,6.1815,-0.15274,5.2431,0.15684,5.384,0.84475,-0.12332
31.455,47.408,-113.78,1.1591,199.73,-60.89,1.6525,-0.018935,3.2626,0.029874,5.1475,0.9265,-2.6735
21.272,47.138,-113.98,0.97269,398.52,48.026,1.1247,-0.0035746,1.4645,0.017062,6.9903,0.91835,-1.777
23.274,47.229,-113.92,1.68,510.67,46.565,1.1673,-0.0081378,2.4737,0.030583,9.2965,0.99195,-5.4173
24.625,47.279,-113.89,0.63355,39.235,29.017,2.5655,-0.021497,1.3313,0.025348,1.5698,0.63364,0.1036
28.261,47.36,-113.82,1.6269,55.849,-74.724,6.1815,-0.15274,5.2431,0.15684,5.384,0.84475,-0.12332
31.455,47.408,-113.78,1.1591,199.73,-60.89,1.6525,-0.018935,3.2626,0.029874,5.1475,0.9265,-2.6735
21.272,47.138,-113.98,0.97269,398.52,48.026,1.1247,-0.0035746,1.4645,0.017062,6.9903,0.91835,-1.777
23.274,47.229,-113.92,1.68,510.67,46.565,1.1673,-0.0081378,2.4737,0.030583,9.2965,0.99195,-5.4173
24.625,47.279,-113.89,0.63355,39.235,29.017,2.5655,-0.021497,1.3313,0.025348,1.5698,0.63364,0.1036
28.261,47.36,-113.82,1.6269,55.849,-74.724,6.1815,-0.15274,5.2431,0.15684,5.384,0.84475,-0.12332
31.455,47.408,-113.78,1.1591,199.73,-60.89,1.6525,-0.018935,3.2626,0.029874,5.1475,0.9265,-2.6735
21.272,47.425,-113.76,0.97269,398.52,48.026,1.1247,-0.0035746,1.4645,0.017062,6.9903,0.91835,-1.777
23.274,47.439,-113.75,1.68,510.67,46.565,1.1673,-0.0081378,2.4737,0.030583,9.2965,0.99195,-5.4173
24.625,47.445,-113.75,0.63355,39.235,29.017,2.5655,-0.021497,1.3313,0.025348,1.5698,0.63364,0.1036
28.261,47.456,-113.79,1.6269,55.849,-74.724,6.1815,-0.15274,5.2431,0.15684,5.384,0.84475,-0.12332
31.455,47.469,-113.84,1.1591,199.73,-60.89,1.6525,-0.018935,3.2626,0.029874,5.1475,0.9265,-2.6735
